Time,X,Y,Z,Roll,Pitch,Yaw
592 34 17 14 16 12 2021,-11959.900391,9177.049805,3.773361,0.0,0.0,-9.688886
603 34 17 14 16 12 2021,-11960.581055,9177.359375,3.523666,0.0,0.0,-8.410593
614 34 17 14 16 12 2021,-11960.581055,9177.359375,3.523666,0.0,0.0,-8.410593
625 34 17 14 16 12 2021,-11960.581055,9177.359375,3.523666,0.0,0.0,-8.410593
636 34 17 14 16 12 2021,-11960.723633,9177.441406,3.445334,0.0,0.0,-7.760896
648 34 17 14 16 12 2021,-11960.813477,9177.493164,3.39592,0.0,0.0,-7.351051
659 34 17 14 16 12 2021,-11960.813477,9177.493164,3.39592,0.0,0.0,-7.351051
670 34 17 14 16 12 2021,-11960.813477,9177.493164,3.39592,0.0,0.0,-7.351051
681 34 17 14 16 12 2021,-11960.813477,9177.493164,3.39592,0.0,0.0,-7.351051
714 34 17 14 16 12 2021,-11960.813477,9177.493164,3.39592,0.0,0.0,-7.351051
724 34 17 14 16 12 2021,-11961.24707,9177.609375,3.301288,0.0,0.0,-7.38425
737 34 17 14 16 12 2021,-11961.824219,9177.763672,3.175229,0.0,0.0,-7.428478
747 34 17 14 16 12 2021,-11961.958008,9177.798828,3.146118,0.0,0.0,-7.438689
758 34 17 14 16 12 2021,-11961.958008,9177.798828,3.146118,0.0,0.0,-7.438689
769 34 17 14 16 12 2021,-11961.958008,9177.798828,3.146118,0.0,0.0,-7.438689
781 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
791 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
803 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
815 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
825 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
836 34 17 14 16 12 2021,-11962.863281,9178.103516,2.96994,0.0,0.0,-6.923857
847 34 17 14 16 12 2021,-11963.025391,9178.219727,2.971347,0.0,0.0,-6.201183
858 34 17 14 16 12 2021,-11963.025391,9178.219727,2.971347,0.0,0.0,-6.201183
869 34 17 14 16 12 2021,-11962.914062,9178.291016,2.976158,0.0,0.0,-4.918872
880 34 17 14 16 12 2021,-11962.914062,9178.291016,2.976158,0.0,0.0,-4.918872
892 34 17 14 16 12 2021,-11962.667969,9178.332031,3.00982,0.0,0.0,-3.570692
903 34 17 14 16 12 2021,-11962.667969,9178.332031,3.00982,0.0,0.0,-3.570692
915 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
925 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
936 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
947 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
958 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
970 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
982 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
992 34 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
3 35 17 14 16 12 2021,-11962.432617,9178.351562,3.042892,0.0,0.0,-2.463776
15 35 17 14 16 12 2021,-11962.422852,9178.314453,3.055245,0.0,0.0,-2.126423
24 35 17 14 16 12 2021,-11962.410156,9178.265625,3.071634,0.0,0.0,-1.678872
35 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
48 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
58 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
69 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
80 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
92 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
104 35 17 14 16 12 2021,-11962.40332,9178.241211,3.079793,0.0,0.0,-1.456051
